product,brand,category,calories,protein,sugar,fat,fiber,price_TL,price_per_100g
Fit Granola,FitLife,Cereals,420,18,12,12,9,129.90,25.98
Protein Bar Chocolate,ProMax,Sweets,230,20,4,8,3,54.90,54.90
Light Yogurt,FreshCo,Dairy,58,6,7,0,0,17.50,8.75
High Protein Milk,StrongFit,Dairy,80,12,5,1,0,22.90,2.29
Diet Tuna Can,BlueSea,Seafood,132,29,0,1,0,42.50,21.25
Zero Sugar Cola,ColaZero,Beverages,1,0,0,0,0,18.00,1.80
Oatmeal Organic,NatureFarm,Cereals,350,13,1,7,10,53.90,10.78
Protein Chips BBQ,MuscleSnack,Snacks,150,10,2,4,2,39.90,26.60
Light Cheese,Fresho,Dairy,50,8,1,2,0,34.90,17.45
Healthy Peanut Butter,HealthNut,Spreads,580,25,6,46,8,89.90,44.95
Fit Ice Cream,FitLife,Sweets,110,8,3,2,1,59.90,29.95
High Protein Bread,ProteinWorld,Bakery,290,22,4,5,8,47.90,23.90
Light Mayonnaise,FreshCo,Condiments,90,0,1,8,0,32.90,16.45
Protein Cookie,MuscleSnack,Sweets,320,22,10,14,3,56.90,56.90
Light Chocolate Milk,FreshCo,Beverages,80,5,8,2,0,19.90,1.99
Protein Pudding,ProMax,Dessert,140,15,3,4,1,38.90,25.93
Fit Granola Bar,FitLife,Cereals,180,12,6,5,3,29.90,29.90
Diet Ice Tea,ColaZero,Beverages,5,0,0,0,0,12.90,1.29
Protein Yogurt,StrongFit,Dairy,98,15,5,0,0,24.90,12.45
Low Sugar Jam,NatureFarm,Spreads,40,0,3,0,1,31.50,15.75
Healthy Almond Milk,NatureFarm,Beverages,27,1,0,2,1,27.90,2.79
Light Breakfast Biscuit,Fresho,Bakery,210,5,10,7,2,44.90,22.45
Protein Pizza,ProteinWorld,Snacks,450,30,6,15,5,94.90,47.45
Diet Ketchup,FreshCo,Condiments,14,0,2,0,0,18.90,1.89
High Protein Cereal,ProMax,Cereals,380,24,5,6,7,79.90,15.98
Fit Smoothie Berry,HealthNut,Beverages,70,6,10,1,2,34.90,3.49
Zero Sugar Energy Drink,ColaZero,Beverages,3,0,0,0,0,22.50,2.25
Protein Wrap,StrongFit,Bakery,250,20,3,6,4,49.90,24.95
Diet Chocolate Spread,HealthNut,Spreads,85,1,1,7,2,25.90,12.95
Healthy Lentil Chips,NatureFarm,Snacks,130,9,1,3,5,28.90,19.27
